Date,CBOE
2025-01-04,21.51
2025-01-03,22.28
2025-01-02,19.63
2025-01-01,16.43
2024-01-12,17.35
2024-01-11,13.51
2024-01-10,23.16
2024-01-09,16.73
2024-01-08,15.0
2024-01-07,16.36
2024-01-06,12.44
2024-01-05,12.92
2024-01-04,15.65
2024-01-03,13.01
2024-01-02,13.4
2024-01-01,14.35
2023-01-12,12.45
2023-01-11,12.92
2023-01-10,18.14
2023-01-09,17.52
2023-01-08,13.57
2023-01-07,13.63
2023-01-06,13.59
2023-01-05,17.94
2023-01-04,15.78
2023-01-03,18.7
2023-01-02,20.7
2023-01-01,19.4
2022-01-12,21.67
2022-01-11,20.58
2022-01-10,25.88
2022-01-09,31.62
2022-01-08,25.87
2022-01-07,21.33
2022-01-06,28.71
2022-01-05,26.19
2022-01-04,33.4
2022-01-03,20.56
2022-01-02,30.15
2022-01-01,24.83
2021-01-12,17.22
2021-01-11,27.19
2021-01-10,16.26
2021-01-09,23.14
2021-01-08,16.48
2021-01-07,18.24
2021-01-06,15.83
2021-01-05,16.76
2021-01-04,18.61
2021-01-03,19.4
2021-01-02,27.95
2021-01-01,33.09
2020-01-12,22.75
2020-01-11,20.57
2020-01-10,38.02
2020-01-09,26.37
2020-01-08,26.41
2020-01-07,24.46
2020-01-06,30.43
2020-01-05,27.51
2020-01-04,34.15
2020-01-03,53.54
2020-01-02,40.11
2020-01-01,18.84
2019-01-12,13.78
2019-01-11,12.62
2019-01-10,13.22
2019-01-09,16.24
2019-01-08,18.98
2019-01-07,16.12
2019-01-06,15.08
2019-01-05,18.71
2019-01-04,13.12
2019-01-03,13.71
2019-01-02,14.7
2019-01-01,16.57
2018-01-12,25.42
2018-01-11,18.07
2018-01-10,21.23
2018-01-09,12.12
2018-01-08,12.86
2018-01-07,12.83
2018-01-06,16.09
2018-01-05,15.43
2018-01-04,15.93
2018-01-03,19.97
2018-01-02,19.85
2018-01-01,13.54
